"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-5576891","R-HSA-5576891","Cardiac conduction",78,-0.478883778271537,-1.6183409734374,0.00425844527810101,0.101790100715946,0.101790100715946,1666,"tags=31%, list=16%, signal=26%","ATP1A2/SCN3B/SCN2A/KCNK2/TRPC1/FXYD6/SCN4B/KCNIP4/ORAI2/FGF14/ATP1A4/SCN7A/CACNA1C/SLC8A3/ITPR1/FXYD2/NPR1/ATP2B2/SCN11A/CASQ1/CAMK2A/NOS1/KCNK12/NPPC",0.407017918923954
"R-HSA-1592230","R-HSA-1592230","Mitochondrial biogenesis",57,0.432231418897397,1.61618655372067,0.00438193094119455,0.101790100715946,0.101790100715946,2780,"tags=44%, list=26%, signal=33%","PRKAG1/ALAS1/ESRRA/TFB2M/ATP5MF/ATP5PB/SOD2/ATP5F1B/ATP5MC2/PRKAB2/ATP5MK/ATP5F1C/MICOS10/CYCS/ATP5MC3/CALM1/GLUD1/RXRA/SIRT4/SIRT3/CALM2/CHCHD3/TBL1XR1/IMMT/NCOA2",0.407017918923954
"R-HSA-9613829","R-HSA-9613829","Chaperone Mediated Autophagy",13,0.697111555455609,1.91899387659062,0.00512934252631959,0.103333926553928,0.103333926553928,1189,"tags=46%, list=11%, signal=41%","HBB/HSPA8/RNASE1/PLIN2/UBC/EEF1A1",0.407017918923954
"R-HSA-9013507","R-HSA-9013507","NOTCH3 Activation and Transmission of Signal to the Nucleus",14,0.689988823371067,1.89806729010898,0.0053964083027457,0.103333926553928,0.103333926553928,2661,"tags=64%, list=25%, signal=48%","NEURL1B/APH1A/UBC/EGF/EGFR/MIB2/NCSTN/RPS27A/TACC3",0.407017918923954
"R-HSA-199992","R-HSA-199992","trans-Golgi Network Vesicle Budding",44,0.486656469962982,1.79784547835673,0.00472198779622206,0.103333926553928,0.103333926553928,2956,"tags=57%, list=28%, signal=41%","TGOLN2/FTH1/VAMP8/AP1S1/TPD52/HSPA8/GNS/NECAP1/CLTB/SORT1/AP3S1/ARF1/GOLGB1/CLINT1/GBF1/BLOC1S1/AP4M1/SH3GL2/CLTA/PUM1/AP4B1/SNX9/IGF2R/ACBD3/TFRC",0.407017918923954
"R-HSA-532668","R-HSA-532668","N-glycan trimming in the ER and Calnexin/Calreticulin cycle",25,0.53930251997097,1.77036534800596,0.00529752971932141,0.103333926553928,0.103333926553928,1118,"tags=36%, list=10%, signal=32%","GANAB/RNF5/RNF103/SEL1L/SYVN1/OS9/UBC/RAD23B/EDEM3",0.407017918923954
"R-HSA-167169","R-HSA-167169","HIV Transcription Elongation",29,0.534637376128242,1.75563016453965,0.00513178398645724,0.103333926553928,0.103333926553928,5,"tags=3%, list=0%, signal=3%","GTF2H2",0.407017918923954
"R-HSA-167200","R-HSA-167200","Formation of HIV-1 elongation complex containing HIV-1 Tat",29,0.534637376128242,1.75563016453965,0.00513178398645724,0.103333926553928,0.103333926553928,5,"tags=3%, list=0%, signal=3%","GTF2H2",0.407017918923954
"R-HSA-167246","R-HSA-167246","Tat-mediated elongation of the HIV-1 transcript",29,0.534637376128242,1.75563016453965,0.00513178398645724,0.103333926553928,0.103333926553928,5,"tags=3%, list=0%, signal=3%","GTF2H2",0.407017918923954
"R-HSA-167161","R-HSA-167161","HIV Transcription Initiation",33,0.506902467550288,1.73300207584975,0.00534413366865547,0.103333926553928,0.103333926553928,5,"tags=3%, list=0%, signal=3%","GTF2H2",0.407017918923954
"R-HSA-167162","R-HSA-167162","RNA Polymerase II HIV Promoter Escape",33,0.506902467550288,1.73300207584975,0.00534413366865547,0.103333926553928,0.103333926553928,5,"tags=3%, list=0%, signal=3%","GTF2H2",0.407017918923954
"R-HSA-73776","R-HSA-73776","RNA Polymerase II Promoter Escape",33,0.506902467550288,1.73300207584975,0.00534413366865547,0.103333926553928,0.103333926553928,5,"tags=3%, list=0%, signal=3%","GTF2H2",0.407017918923954
"R-HSA-73779","R-HSA-73779","RNA Polymerase II Transcription Pre-Initiation And Promoter Opening",33,0.506902467550288,1.73300207584975,0.00534413366865547,0.103333926553928,0.103333926553928,5,"tags=3%, list=0%, signal=3%","GTF2H2",0.407017918923954
"R-HSA-75953","R-HSA-75953","RNA Polymerase II Transcription Initiation",33,0.506902467550288,1.73300207584975,0.00534413366865547,0.103333926553928,0.103333926553928,5,"tags=3%, list=0%, signal=3%","GTF2H2",0.407017918923954
"R-HSA-76042","R-HSA-76042","RNA Polymerase II Transcription Initiation And Promoter Clearance",33,0.506902467550288,1.73300207584975,0.00534413366865547,0.103333926553928,0.103333926553928,5,"tags=3%, list=0%, signal=3%","GTF2H2",0.407017918923954
"R-HSA-9840310","R-HSA-9840310","Glycosphingolipid catabolism",25,0.535399927267285,1.75755432889491,0.00572997470624654,0.105576660413835,0.105576660413835,493,"tags=24%, list=5%, signal=23%","NEU4/GLB1L2/GBA1/NEU1/HEXB/SMPD4",0.407017918923954
"R-HSA-5419276","R-HSA-5419276","Mitochondrial translation termination",67,0.413388559655312,1.64653230761268,0.00573705211846526,0.105576660413835,0.105576660413835,2902,"tags=42%, list=27%, signal=31%","MRPL44/MRPS33/MRPL49/MRPS24/MRPL24/MRPL23/MRPS35/MRPL36/MRPL21/KGD4/MRPL47/MRPS2/MRPL17/MRPL11/MRPL43/MRPS15/MRPL48/MRPS22/MRPS9/MRPL37/MRPL16/MRPS17/CHCHD1/AURKAIP1/MRPL55/MRPL51/MRPL18/MRPS18C",0.407017918923954
"R-HSA-6807878","R-HSA-6807878","COPI-mediated anterograde transport",65,0.399299747562657,1.58476411279134,0.00569744544081676,0.105576660413835,0.105576660413835,2095,"tags=43%, list=20%, signal=35%","YKT6/ARF5/RAB1B/ARF4/RAB1A/DYNLL1/COG6/COPG1/BET1L/COPG2/SPTBN2/ARCN1/KDELR2/TMED7/TUBB2A/TMED10/USO1/TMEM115/COG3/COPA/COG5/ARF1/COPB2/GOLGB1/GBF1/TMED9/TUBB4B/BET1",0.407017918923954
"R-HSA-9920588","R-HSA-9920588","Dengue virus activates/modulates innate and adaptive immune responses",19,0.61973483502888,1.83182308173688,0.00587760152871349,0.106776427771628,0.106776427771628,94,"tags=16%, list=1%, signal=16%","C4B/C4BPA/C4BPB",0.407017918923954
"R-HSA-72086","R-HSA-72086","mRNA Capping",20,0.604809576301989,1.80644168133611,0.00622848314279688,0.111084602938867,0.111084602938867,5,"tags=5%, list=0%, signal=5%","GTF2H2",0.407017918923954
