"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"R-HSA-5358751","R-HSA-5358751","CTNNB1 S45 mutants aren't phosphorylated",11,0.64674678485736,1.61818441927069,0.0154037193233478,0.184975171874439,0.184975171874439,2174,"tags=64%, list=20%, signal=51%","PPP2R5B/PPP2CB/PPP2R5A/APC/CSNK1A1/PPP2R5E/PPP2CA",0.380730400722792
"R-HSA-5358752","R-HSA-5358752","CTNNB1 T41 mutants aren't phosphorylated",11,0.64674678485736,1.61818441927069,0.0154037193233478,0.184975171874439,0.184975171874439,2174,"tags=64%, list=20%, signal=51%","PPP2R5B/PPP2CB/PPP2R5A/APC/CSNK1A1/PPP2R5E/PPP2CA",0.380730400722792
"R-HSA-140342","R-HSA-140342","Apoptosis induced DNA fragmentation",11,-0.709608426351194,-1.60557129623047,0.0148868823272868,0.184975171874439,0.184975171874439,1588,"tags=55%, list=15%, signal=47%","H1-1/DFFB/HMGB2/H1-4/H1-3/H1-5",0.380730400722792
"R-HSA-1643713","R-HSA-1643713","Signaling by EGFR in Cancer",18,0.558146844644251,1.60747322978608,0.015956309640917,0.190000762698986,0.190000762698986,2261,"tags=56%, list=21%, signal=44%","EREG/HBEGF/AREG/UBC/EGF/NRAS/EGFR/KRAS/SHC1/RPS27A",0.352487857583619
"R-HSA-877300","R-HSA-877300","Interferon gamma signaling",71,-0.468766474197485,-1.53998499693673,0.0162960080474776,0.192428695027298,0.192428695027298,683,"tags=17%, list=6%, signal=16%","NCAM1/HLA-DRB5/GBP7/TRIM10/VCAM1/HLA-DRA/CAMK2A/HLA-DQB2/HLA-C/HLA-E/TRIM31/HLA-B",0.352487857583619
"R-HSA-210500","R-HSA-210500","Glutamate Neurotransmitter Release Cycle",17,-0.627355446845187,-1.55477497960401,0.0171745447315028,0.201126693260656,0.201126693260656,2585,"tags=41%, list=24%, signal=31%","GLS2/PPFIA2/RIMS1/PPFIA4/SYT1/SLC1A3/SLC1A2",0.352487857583619
"R-HSA-372790","R-HSA-372790","Signaling by GPCR",389,-0.338546027018597,-1.30293057637418,0.0176821254271731,0.205373538772986,0.205373538772986,2003,"tags=27%, list=19%, signal=23%","GNG11/UTS2/RGS17/ADCY6/TRIO/CX3CR1/RGS16/CCR6/AGT/PRKCE/CXCL10/ADCY3/GHRL/CXCL6/CXCL12/PDE2A/C3AR1/HTR7/ADRA2C/CASR/SCTR/PDE4B/PRKAR2B/FZD4/PTH1R/CXCL11/CAMK4/XCR1/AVPR1A/RAMP3/DGKI/ACKR1/TSHR/TAS2R14/GNAT3/GABBR2/TAC3/ADCY5/ARHGEF10/GPR83/CCR1/AKT3/ADCY4/TAS2R4/ADRA1B/OXTR/GNG3/FZD8/WNT11/XCL2/FGD3/HTR2B/NBEA/GNB4/TAS2R19/CCR9/ARHGEF35/P2RY14/GNRH1/GPR183/ADRA2B/P2RY13/TAS2R5/TAS2R30/RLN2/PTHLH/ITPR1/PTCH2/VIPR2/S1PR1/PLPPR4/RXFP1/ADCYAP1R1/DHH/P2RY12/RGS13/VIP/GNB3/UCN/CHRM2/PTGFR/PDE10A/CXCL9/WNT6/NPFFR1/GAL/ADRA1A/S1PR3/PNOC/RGS1/GPR31/CCL19/HTR6/PTGER3/CCL20/CAMK2A/CCR4/CXCR4/KEL/CCL21/CXCR5/CNR2/CNR1/CXCL13",0.352487857583619
"R-HSA-3700989","R-HSA-3700989","Transcriptional Regulation by TP53",237,0.27259327716236,1.30834648571953,0.0190459975499946,0.219416085596279,0.219416085596279,2726,"tags=31%, list=25%, signal=23%","GTF2H2/CSNK2B/SFN/PIP4K2C/TNFRSF10C/PRKAG1/NDRG1/PCBP4/KAT5/CDKN2A/DAXX/MTA2/SESN2/MDC1/COX8A/TNFRSF10D/COX6A1/RAD17/UBC/CDKN1A/PPP2CB/PRKAB2/TAF13/COX5B/HDAC1/TXN/AIFM2/TP53AIP1/YWHAQ/PERP/CDC25C/CNOT10/STEAP3/CYCS/TRIAP1/BTG2/CNOT11/FAS/SLC38A9/YWHAZ/LAMTOR5/PRDX1/PRELID1/COX7C/LAMTOR1/TXNRD1/ELOC/POLR2J/HDAC2/JUN/GTF2H4/PPP2CA/MAPKAP1/TIGAR/GSR/RFC4/COX6C/RPS27A/BNIP3L/BRPF3/KMT5A/TNFRSF10B/RAD50/MAPKAPK5/YWHAG/TAF9/CNOT7/CASP10/CNOT8/COX7A2/TNKS1BP1/MLH1/DYRK2",0.352487857583619
"R-HSA-182971","R-HSA-182971","EGFR downregulation",21,0.540153383214068,1.67763131673633,0.0193455694531801,0.221069934799646,0.221069934799646,2728,"tags=52%, list=25%, signal=39%","EREG/HBEGF/AREG/UBC/EGF/EGFR/CDC42/RPS27A/SH3GL2/SPRY2/TGFA",0.352487857583619
"R-HSA-390471","R-HSA-390471","Association of TriC/CCT with target proteins during biosynthesis",21,0.539749282516882,1.67637624362973,0.0196124006925216,0.222326174250425,0.222326174250425,3117,"tags=62%, list=29%, signal=44%","FBXW5/GBA1/FBXO6/FKBP9/FBXL3/TCP1/FBXW4/CCT4/CCT2/CCT3/CCT6A/CCT7/KIF13A",0.352487857583619
"R-HSA-9931269","R-HSA-9931269","AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274)",37,0.455639512281987,1.61612751195885,0.0199342250066853,0.222340705907956,0.222340705907956,2261,"tags=43%, list=21%, signal=34%","PRKAG1/RNF5/SEL1L/OS9/UBC/PRKAB2/PSMA5/PSMC6/PSMD1/PSMD6/PSMA1/PSMB7/PSMA6/PSMC2/ERLIN1/RPS27A",0.352487857583619
"R-HSA-6781823","R-HSA-6781823","Formation of TC-NER Pre-Incision Complex",35,0.457305610191147,1.59045053745871,0.020511218999122,0.222340705907956,0.222340705907956,2435,"tags=23%, list=23%, signal=18%","GTF2H2/UBC/POLR2J/GTF2H4/COPS5/RPS27A/COPS8/DDB1",0.352487857583619
"R-HSA-420499","R-HSA-420499","Class C/3 (Metabotropic glutamate/pheromone receptors)",11,-0.697217952515717,-1.57753641333142,0.0208415066217738,0.222340705907956,0.222340705907956,1633,"tags=64%, list=15%, signal=54%","CASR/TAS2R14/GABBR2/TAS2R4/TAS2R19/TAS2R5/TAS2R30",0.352487857583619
"R-HSA-9953170","R-HSA-9953170","GBP-mediated host defense",11,0.629074204695955,1.57396696889434,0.0202551962128063,0.222340705907956,0.222340705907956,328,"tags=27%, list=3%, signal=26%","SFN/GBP3/ACTB",0.352487857583619
"R-HSA-2644602","R-HSA-2644602","Signaling by NOTCH1 PEST Domain Mutants in Cancer",38,0.435919036176747,1.53488376057748,0.0210258677428837,0.222340705907956,0.222340705907956,2261,"tags=37%, list=21%, signal=29%","NEURL1B/MAML1/HES1/HES5/APH1A/UBC/HDAC1/HDAC11/MIB2/HDAC2/NCSTN/KAT2B/CDK8/RPS27A",0.352487857583619
"R-HSA-2644603","R-HSA-2644603","Signaling by NOTCH1 in Cancer",38,0.435919036176747,1.53488376057748,0.0210258677428837,0.222340705907956,0.222340705907956,2261,"tags=37%, list=21%, signal=29%","NEURL1B/MAML1/HES1/HES5/APH1A/UBC/HDAC1/HDAC11/MIB2/HDAC2/NCSTN/KAT2B/CDK8/RPS27A",0.352487857583619
"R-HSA-2644606","R-HSA-2644606","Constitutive Signaling by NOTCH1 PEST Domain Mutants",38,0.435919036176747,1.53488376057748,0.0210258677428837,0.222340705907956,0.222340705907956,2261,"tags=37%, list=21%, signal=29%","NEURL1B/MAML1/HES1/HES5/APH1A/UBC/HDAC1/HDAC11/MIB2/HDAC2/NCSTN/KAT2B/CDK8/RPS27A",0.352487857583619
"R-HSA-2894858","R-HSA-2894858","Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer",38,0.435919036176747,1.53488376057748,0.0210258677428837,0.222340705907956,0.222340705907956,2261,"tags=37%, list=21%, signal=29%","NEURL1B/MAML1/HES1/HES5/APH1A/UBC/HDAC1/HDAC11/MIB2/HDAC2/NCSTN/KAT2B/CDK8/RPS27A",0.352487857583619
"R-HSA-2894862","R-HSA-2894862","Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants",38,0.435919036176747,1.53488376057748,0.0210258677428837,0.222340705907956,0.222340705907956,2261,"tags=37%, list=21%, signal=29%","NEURL1B/MAML1/HES1/HES5/APH1A/UBC/HDAC1/HDAC11/MIB2/HDAC2/NCSTN/KAT2B/CDK8/RPS27A",0.352487857583619
"R-HSA-6785631","R-HSA-6785631","ERBB2 Regulates Cell Motility",11,0.626869068948202,1.56844963754776,0.0219532171044704,0.228733151742901,0.228733151742901,1672,"tags=64%, list=16%, signal=54%","EREG/HBEGF/NRG1/EGF/RHOA/ERBB3/EGFR",0.352487857583619
"R-HSA-5696395","R-HSA-5696395","Formation of Incision Complex in GG-NER",28,0.461231300678939,1.53057964521432,0.021833545471227,0.228733151742901,0.228733151742901,1030,"tags=11%, list=10%, signal=10%","GTF2H2/UBC/RAD23B",0.352487857583619
"R-HSA-162710","R-HSA-162710","Synthesis of glycosylphosphatidylinositol (GPI)",11,0.624803329640746,1.56328108125979,0.0231660900101761,0.237872098147967,0.237872098147967,264,"tags=18%, list=2%, signal=18%","PIGZ/PIGC",0.352487857583619
"R-HSA-73863","R-HSA-73863","RNA Polymerase I Transcription Termination",24,0.504397226239175,1.55038179012193,0.023158018775168,0.237872098147967,0.237872098147967,5,"tags=4%, list=0%, signal=4%","GTF2H2",0.352487857583619
"R-HSA-9820841","R-HSA-9820841","M-decay: degradation of maternal mRNAs by maternally stored factors",18,0.537629297123577,1.54838231366459,0.0240061584744371,0.241777942105104,0.241777942105104,2678,"tags=44%, list=25%, signal=33%","ZFP36L2/CNOT10/CNOT11/EIF4E/PABPC1/CNOT7/CNOT8/TNKS1BP1",0.352487857583619
"R-HSA-375280","R-HSA-375280","Amine ligand-binding receptors",21,-0.585241530226692,-1.53480707449908,0.0240583555658572,0.241777942105104,0.241777942105104,1695,"tags=38%, list=16%, signal=32%","HTR7/ADRA2C/ADRA1B/HTR2B/ADRA2B/CHRM2/ADRA1A/HTR6",0.352487857583619
"R-HSA-674695","R-HSA-674695","RNA Polymerase II Pre-transcription Events",54,0.387183523149921,1.43075464612005,0.0239916336363647,0.241777942105104,0.241777942105104,5,"tags=2%, list=0%, signal=2%","GTF2H2",0.352487857583619
"R-HSA-8963743","R-HSA-8963743","Digestion and absorption",16,-0.636259906754526,-1.59401338961014,0.0244571007017156,0.242926326759642,0.242926326759642,2299,"tags=62%, list=21%, signal=49%","CEL/MGAM/SI/SLC2A2/AMY2B/NPC1L1/PNLIPRP2/RSC1A1/CHIT1/LCT",0.352487857583619
"R-HSA-167172","R-HSA-167172","Transcription of the HIV genome",48,0.399629481421767,1.47942712906985,0.024515500865652,0.242926326759642,0.242926326759642,5,"tags=2%, list=0%, signal=2%","GTF2H2",0.352487857583619
"R-HSA-4791275","R-HSA-4791275","Signaling by WNT in cancer",22,0.51843755937802,1.58982006087403,0.0248611697670182,0.24464081638795,0.24464081638795,2364,"tags=64%, list=22%, signal=50%","PPP2R5B/FZD5/PPP2CB/PPP2R5A/CTBP1/FZD6/APC/TCF7L2/LRP5/CSNK1A1/TNKS/PPP2R5E/PPP2CA/CTBP2",0.352487857583619
"R-HSA-70326","R-HSA-70326","Glucose metabolism",54,0.38505622149368,1.42289365373172,0.0255028873396163,0.247517749042715,0.247517749042715,3867,"tags=52%, list=36%, signal=33%","HK2/GNPDA1/HKDC1/SEC13/PCK2/PPP2CB/PGAM1/TPI1/PC/PFKP/HK3/BPGM/NUP37/PPP2CA/GAPDH/SLC37A2/ENO1/PFKFB2/PFKFB3/PPP2R5D/PGM2L1/NUP35/NUP153/ENO2/NUP133/FBP1/NUP188/NUP205",0.352487857583619
"R-HSA-5619084","R-HSA-5619084","ABC transporter disorders",43,0.39543429871726,1.41180534057229,0.025364098384182,0.247517749042715,0.247517749042715,2333,"tags=49%, list=22%, signal=38%","RNF5/SEL1L/OS9/UBC/LMBRD1/PSMA5/ABCB6/APOA1/PSMC6/ABCC9/PSMD1/PSMD6/PSMA1/KCNJ11/PSMB7/CFTR/PSMA6/PSMC2/ERLIN1/RPS27A/ABCD4",0.352487857583619
"R-HSA-9768727","R-HSA-9768727","Regulation of CDH1 posttranslational processing and trafficking to plasma membrane",21,0.523233352695215,1.62508036739365,0.0260163632743992,0.250783583400161,0.250783583400161,2265,"tags=57%, list=21%, signal=45%","GANAB/CSNK2B/OSTC/STT3A/RPN1/OST4/PCSK7/CSNK2A3/SPCS1/ARHGAP32/DAD1/SPCS2",0.352487857583619
"R-HSA-196299","R-HSA-196299","Beta-catenin phosphorylation cascade",13,0.618793362548456,1.70340121937776,0.0280476950248292,0.262494555608452,0.262494555608452,2174,"tags=62%, list=20%, signal=49%","PPP2R5B/PPP2CB/PPP2R5A/APC/CSNK1A1/FRAT2/PPP2R5E/PPP2CA",0.352487857583619
"R-HSA-180336","R-HSA-180336","SHC1 events in EGFR signaling",12,0.657473809934656,1.69442178954765,0.029083729873343,0.262494555608452,0.262494555608452,3171,"tags=92%, list=30%, signal=65%","EREG/HBEGF/AREG/EGF/NRAS/EGFR/KRAS/SHC1/TGFA/SOS1/BTC",0.352487857583619
"R-HSA-4839735","R-HSA-4839735","Signaling by AXIN mutants",10,0.684798228880142,1.66922583056468,0.0287262587175758,0.262494555608452,0.262494555608452,2174,"tags=70%, list=20%, signal=56%","PPP2R5B/PPP2CB/PPP2R5A/APC/CSNK1A1/PPP2R5E/PPP2CA",0.352487857583619
"R-HSA-4839744","R-HSA-4839744","Signaling by APC mutants",10,0.684798228880142,1.66922583056468,0.0287262587175758,0.262494555608452,0.262494555608452,2174,"tags=70%, list=20%, signal=56%","PPP2R5B/PPP2CB/PPP2R5A/APC/CSNK1A1/PPP2R5E/PPP2CA",0.352487857583619
"R-HSA-4839748","R-HSA-4839748","Signaling by AMER1 mutants",10,0.684798228880142,1.66922583056468,0.0287262587175758,0.262494555608452,0.262494555608452,2174,"tags=70%, list=20%, signal=56%","PPP2R5B/PPP2CB/PPP2R5A/APC/CSNK1A1/PPP2R5E/PPP2CA",0.352487857583619
"R-HSA-5467337","R-HSA-5467337","APC truncation mutants have impaired AXIN binding",10,0.684798228880142,1.66922583056468,0.0287262587175758,0.262494555608452,0.262494555608452,2174,"tags=70%, list=20%, signal=56%","PPP2R5B/PPP2CB/PPP2R5A/APC/CSNK1A1/PPP2R5E/PPP2CA",0.352487857583619
"R-HSA-5467340","R-HSA-5467340","AXIN missense mutants destabilize the destruction complex",10,0.684798228880142,1.66922583056468,0.0287262587175758,0.262494555608452,0.262494555608452,2174,"tags=70%, list=20%, signal=56%","PPP2R5B/PPP2CB/PPP2R5A/APC/CSNK1A1/PPP2R5E/PPP2CA",0.352487857583619
"R-HSA-5467348","R-HSA-5467348","Truncations of AMER1 destabilize the destruction complex",10,0.684798228880142,1.66922583056468,0.0287262587175758,0.262494555608452,0.262494555608452,2174,"tags=70%, list=20%, signal=56%","PPP2R5B/PPP2CB/PPP2R5A/APC/CSNK1A1/PPP2R5E/PPP2CA",0.352487857583619
"R-HSA-381038","R-HSA-381038","XBP1(S) activates chaperone genes",35,0.447560694110788,1.5565589632639,0.0275001153764185,0.262494555608452,0.262494555608452,2211,"tags=49%, list=21%, signal=39%","HYOU1/PPP2R5B/GFPT1/SYVN1/DNAJC3/DNAJB9/DNAJB11/ZBTB17/PDIA5/SERP1/EDEM1/SRPRA/YIF1A/CTDSP2/SEC31A/PDIA6/SHC1",0.352487857583619
"R-HSA-1632852","R-HSA-1632852","Macroautophagy",94,0.332363809895297,1.42272558118542,0.0290417480755603,0.262494555608452,0.262494555608452,2900,"tags=39%, list=27%, signal=29%","CSNK2B/PRKAG1/DYNLL1/VDAC2/HSPA8/CHMP2B/PLIN2/PIK3R4/UBC/TUBB2A/VDAC1/PRKAB2/TBK1/ATG9A/MFN2/AMBRA1/ATG101/VDAC3/SLC38A9/LAMTOR5/ATG5/LAMTOR1/EPAS1/PGAM5/TUBB4B/CFTR/RB1CC1/RPS27A/PINK1/UBE2D2/TOMM6/TOMM5/TOMM20/TUBA1C/ATG12/ATG16L1/ATG3",0.352487857583619
"R-HSA-189451","R-HSA-189451","Heme biosynthesis",10,0.683290575525751,1.66555085914018,0.0296310043602069,0.263836332408158,0.263836332408158,2760,"tags=70%, list=26%, signal=52%","ALAS1/CPOX/ABCG2/FLVCR1/ALAD/HMBS/COX15",0.352487857583619
"R-HSA-9820965","R-HSA-9820965","Respiratory syncytial virus (RSV) genome replication, transcription and translation",10,0.680873379631953,1.65965883773402,0.0305357505398292,0.263836332408158,0.263836332408158,2293,"tags=60%, list=21%, signal=47%","CSNK2B/HSPA8/SPCS1/PPP1CC/SPCS2/PPP1CB",0.352487857583619
"R-HSA-390918","R-HSA-390918","Peroxisomal lipid metabolism",16,0.567473297728333,1.63176505584657,0.0301222502728724,0.263836332408158,0.263836332408158,2221,"tags=62%, list=21%, signal=50%","PHYH/EHHADH/ACOT4/SCP2/ECI2/CRAT/ACAA1/CROT/AMACR/ACOX2",0.352487857583619
"R-HSA-381070","R-HSA-381070","IRE1alpha activates chaperones",36,0.457944307133822,1.60714536442407,0.0299178215878722,0.263836332408158,0.263836332408158,2211,"tags=50%, list=21%, signal=40%","HYOU1/PPP2R5B/GFPT1/SYVN1/DNAJC3/DNAJB9/DNAJB11/ZBTB17/PDIA5/SERP1/EDEM1/SRPRA/HSPA5/YIF1A/CTDSP2/SEC31A/PDIA6/SHC1",0.352487857583619
"R-HSA-438066","R-HSA-438066","Unblocking of NMDA receptors, glutamate binding and activation",14,-0.639614964964704,-1.55038422771506,0.0304440649061752,0.263836332408158,0.263836332408158,1616,"tags=50%, list=15%, signal=43%","ACTN2/GRIN1/GRIA1/GRIN2B/DLG2/GRIA4/CAMK2A",0.352487857583619
"R-HSA-9012852","R-HSA-9012852","Signaling by NOTCH3",33,0.437132687990074,1.49447261397169,0.0304657353408582,0.263836332408158,0.263836332408158,2261,"tags=39%, list=21%, signal=31%","NEURL1B/MAML1/HES1/HES5/APH1A/UBC/EGF/WWC1/EGFR/MIB2/NCSTN/KAT2B/RPS27A",0.352487857583619
"R-HSA-388396","R-HSA-388396","GPCR downstream signalling",350,-0.336505034793169,-1.28977193556402,0.0301455301455301,0.263836332408158,0.263836332408158,2408,"tags=32%, list=22%, signal=25%","TAS2R13/GPER1/PTAFR/PDE7A/HCRTR1/ITPR2/CALCRL/GRK6/GPR84/TACR1/ARHGEF17/GPR18/PIK3R1/APLNR/RASGRP2/PDE1A/FGD2/PDE1B/GNG11/UTS2/RGS17/ADCY6/TRIO/CX3CR1/RGS16/CCR6/AGT/PRKCE/CXCL10/ADCY3/GHRL/CXCL6/CXCL12/PDE2A/C3AR1/HTR7/ADRA2C/CASR/SCTR/PDE4B/PRKAR2B/PTH1R/CXCL11/CAMK4/XCR1/AVPR1A/RAMP3/DGKI/TSHR/TAS2R14/GNAT3/GABBR2/TAC3/ADCY5/ARHGEF10/GPR83/CCR1/AKT3/ADCY4/TAS2R4/ADRA1B/OXTR/GNG3/XCL2/FGD3/HTR2B/NBEA/GNB4/TAS2R19/CCR9/ARHGEF35/P2RY14/GNRH1/GPR183/ADRA2B/P2RY13/TAS2R5/TAS2R30/RLN2/PTHLH/ITPR1/VIPR2/RXFP1/ADCYAP1R1/P2RY12/RGS13/VIP/GNB3/CHRM2/PTGFR/PDE10A/CXCL9/NPFFR1/GAL/ADRA1A/S1PR3/PNOC/RGS1/GPR31/CCL19/HTR6/PTGER3/CCL20/CAMK2A/CCR4/CXCR4/CCL21/CXCR5/CNR2/CNR1/CXCL13",0.266350657088526
"R-HSA-381042","R-HSA-381042","PERK regulates gene expression",12,0.6513996062471,1.67876753393043,0.0313038203335418,0.264253728124343,0.264253728124343,1718,"tags=50%, list=16%, signal=42%","EIF2AK3/CXCL8/ATF3/DDIT3/HSPA5/NFYA",0.321775918075361
"R-HSA-1482788","R-HSA-1482788","Acyl chain remodelling of PC",14,-0.638995679490132,-1.54888312082291,0.030939079533278,0.264253728124343,0.264253728124343,312,"tags=21%, list=3%, signal=21%","PLB1/PLA2G5/PLA2G2D",0.352487857583619
"R-HSA-5387390","R-HSA-5387390","Hh mutants abrogate ligand secretion",31,0.448857064737018,1.48788986345841,0.0313300115207407,0.264253728124343,0.264253728124343,2261,"tags=48%, list=21%, signal=38%","IHH/SEL1L/SHH/SYVN1/OS9/UBC/PSMA5/PSMC6/PSMD1/PSMD6/PSMA1/PSMB7/PSMA6/PSMC2/RPS27A",0.321775918075361
"R-HSA-1474290","R-HSA-1474290","Collagen formation",72,-0.441278744351568,-1.45163591774898,0.0312891113892365,0.264253728124343,0.264253728124343,1734,"tags=36%, list=16%, signal=30%","PCOLCE/P3H1/MMP7/P3H2/TLL1/COL27A1/COL16A1/COL9A1/COL5A2/COL26A1/ADAMTS2/COL4A3/COL8A2/COL3A1/COL11A1/COL14A1/COL4A4/COL21A1/COL22A1/COL6A5/COLGALT2/COL2A1/COL24A1/ADAMTS3/PCOLCE2/COL19A1",0.287857117255149
"R-HSA-9717189","R-HSA-9717189","Sensory perception of taste",19,-0.607777398915763,-1.57452034571807,0.0323758023044631,0.271458650091268,0.271458650091268,1623,"tags=53%, list=15%, signal=45%","SCNN1D/SCN2A/TAS2R14/GNAT3/SCN4B/TAS2R4/TAS2R5/TAS2R30/TRPM5/GNB3",0.321775918075361
"R-HSA-9861718","R-HSA-9861718","Regulation of pyruvate metabolism",22,0.508842645879541,1.56039667962725,0.0325797812284701,0.271562058827895,0.271562058827895,3615,"tags=64%, list=34%, signal=42%","LDHA/UBC/MAEA/GSTZ1/PDK1/PDHX/PGAM5/SIRT4/RPS27A/MKLN1/ME1/RMND5A/DLAT/PDHB",0.321775918075361
"R-HSA-9830674","R-HSA-9830674","Formation of the ureteric bud",15,-0.632748694830332,-1.54663808936022,0.0335585587771774,0.278084665422575,0.278084665422575,1530,"tags=40%, list=14%, signal=34%","FOXC1/RET/WNT11/SLIT2/GFRA1/ROBO2",0.321775918075361
"R-HSA-180292","R-HSA-180292","GAB1 signalosome",13,0.604457217175966,1.6639369830322,0.0347790121336004,0.2862524436586,0.2862524436586,1672,"tags=46%, list=16%, signal=39%","EREG/HBEGF/AREG/PXN/EGF/EGFR",0.321775918075361
"R-HSA-8852135","R-HSA-8852135","Protein ubiquitination",55,0.367852849390171,1.39976560973959,0.034948251766364,0.2862524436586,0.2862524436586,1746,"tags=22%, list=16%, signal=18%","HLA-A/H2BC4/USP5/BCL10/H2BC5/UBC/H2BC9/UBE2E3/H2BC12/TMEM129/RNF144A/PEX13",0.321775918075361
"R-HSA-1482801","R-HSA-1482801","Acyl chain remodelling of PS",14,-0.632585437357922,-1.53334511930326,0.0368792662924327,0.30033287549642,0.30033287549642,181,"tags=14%, list=2%, signal=14%","PLA2G5/PLA2G2D",0.321775918075361
"R-HSA-975634","R-HSA-975634","Retinoid metabolism and transport",31,0.443552990011776,1.47030769835795,0.0378942136274404,0.306421377154564,0.306421377154564,1585,"tags=42%, list=15%, signal=36%","AGRN/SDC1/LRP1/AKR1C4/RETSAT/AKR1C1/AKR1B10/RBP4/AKR1C3/LRAT/APOA1/LRP10/APOB",0.321775918075361
"R-HSA-9674555","R-HSA-9674555","Signaling by CSF3 (G-CSF)",18,0.510286194415804,1.46963367243551,0.0382467986559477,0.306421377154564,0.306421377154564,3214,"tags=56%, list=30%, signal=39%","UBC/RNF7/KRAS/ELOC/SHC1/RPS27A/UBE2D2/PTPN11/JAK2/CUL5",0.321775918075361
"R-HSA-9918432","R-HSA-9918432","Maturation of DENV proteins",38,0.414537893220272,1.45960012673046,0.0382756413241763,0.306421377154564,0.306421377154564,2642,"tags=53%, list=25%, signal=40%","HYOU1/OSTC/P4HA2/UBC/DNAJC3/STT3A/RPN1/DNAJB11/KPNA7/ACOT2/APOA1/OST4/HSPA5/SPCS1/SUMO1/DAD1/RPS27A/SPCS2/STT3B/SCAP",0.321775918075361
"R-HSA-1236394","R-HSA-1236394","Signaling by ERBB4",34,0.421523103616617,1.46505903073829,0.0405247559632242,0.322604377527465,0.322604377527465,2261,"tags=50%, list=21%, signal=40%","EREG/HBEGF/APH1A/GABRB2/NRG1/UBC/GABRB1/TAB2/ADAP1/EGF/NRAS/ERBB3/EGFR/KRAS/NCSTN/SHC1/RPS27A",0.321775918075361
"R-HSA-5083635","R-HSA-5083635","Defective B3GALTL causes PpS",23,-0.553199432866441,-1.48805111508896,0.0414814814814815,0.322962962962963,0.322962962962963,1600,"tags=43%, list=15%, signal=37%","ADAMTS19/THBS2/THSD1/ADAMTS2/ADAMTSL4/SEMA5B/ADAMTSL1/ADAMTS6/ADAMTSL2/ADAMTS3",0.271288554688953
"R-HSA-5173214","R-HSA-5173214","O-glycosylation of TSR domain-containing proteins",23,-0.553199432866441,-1.48805111508896,0.0414814814814815,0.322962962962963,0.322962962962963,1600,"tags=43%, list=15%, signal=37%","ADAMTS19/THBS2/THSD1/ADAMTS2/ADAMTSL4/SEMA5B/ADAMTSL1/ADAMTS6/ADAMTSL2/ADAMTS3",0.271288554688953
"R-HSA-6806667","R-HSA-6806667","Metabolism of fat-soluble vitamins",34,0.420677479712304,1.46211995355132,0.0411434426013344,0.322962962962963,0.322962962962963,1585,"tags=38%, list=15%, signal=33%","AGRN/SDC1/LRP1/AKR1C4/RETSAT/AKR1C1/AKR1B10/RBP4/AKR1C3/LRAT/APOA1/LRP10/APOB",0.321775918075361
"R-HSA-163125","R-HSA-163125","Post-translational modification: synthesis of GPI-anchored proteins",50,-0.46443950516933,-1.45807613831297,0.0411840411840412,0.322962962962963,0.322962962962963,1993,"tags=40%, list=19%, signal=33%","NEGR1/PIGM/RECK/LY6E/CNTN4/VNN2/CD109/CD52/RTN4RL2/THY1/RAET1G/GPIHBP1/NTNG2/GPLD1/MDGA1/LY6H/LY6K/NTNG1/ART4/LSAMP",0.252961123069611
"R-HSA-9753281","R-HSA-9753281","Paracetamol ADME",17,0.520736229462896,1.53152414596807,0.0422024277387943,0.32500456579278,0.32500456579278,377,"tags=29%, list=4%, signal=28%","UGT2B15/GSTM1/NAT1/NAT2/UGT1A10",0.321775918075361
"R-HSA-1474244","R-HSA-1474244","Extracellular matrix organization",207,-0.348450027119941,-1.29855996593487,0.0420819490586932,0.32500456579278,0.32500456579278,1752,"tags=27%, list=16%, signal=23%","ADAM19/PCOLCE/ITGA10/MATN3/P3H1/MMP7/SERPINE1/P3H2/DDR2/TGFB3/TLL1/LTBP2/COL27A1/COL16A1/COL9A1/SGCD/COL5A2/LTBP1/SGCE/KLKB1/COL26A1/ADAMTS2/SPOCK3/COL4A3/COL8A2/MATN1/ELN/COL3A1/COL11A1/COL14A1/NCAM1/MFAP2/MFAP5/COL4A4/FGF2/COL21A1/COL22A1/NRXN1/ADAM12/COL6A5/CMA1/COLGALT2/PRSS2/MMP17/COL2A1/VCAM1/TNR/MUSK/COL24A1/CAPN14/ADAMTS3/CTSG/MMP16/BCAN/PCOLCE2/COL19A1",0.231126709673834
"R-HSA-111465","R-HSA-111465","Apoptotic cleavage of cellular proteins",28,0.425489651473181,1.41197225521239,0.0430306604977866,0.32959159959656,0.32959159959656,2655,"tags=46%, list=25%, signal=35%","OCLN/CASP7/PLEC/PRKCD/STK24/APC/BIRC2/LMNB1/CASP3/PRKCQ/PTK2/GSN/DSP",0.321775918075361
"R-HSA-8978934","R-HSA-8978934","Metabolism of cofactors",20,0.493701985966288,1.47458618473099,0.044111150041811,0.336051073167991,0.336051073167991,2565,"tags=60%, list=24%, signal=46%","COQ3/IDH1/COQ2/SPR/PTS/GCH1/COQ4/CALM1/HPDL/PDSS2/COQ6/CALM2",0.321775918075361
