"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TNFAIP3",-0.710886398831091,6.56682690400694,-4.50066255594572,1.44259532612662e-05,0.155266534951008,2.74382317419458
"DNAJB13",2.3579318389337,-0.124769328026107,4.30861756867809,3.13024707857682e-05,0.168454246533612,1.48842496969985
"DDIT4",-0.970798498481141,5.80112999538141,-3.93011696728461,0.000134648151498968,0.262430270333895,0.840640456269205
"HSPA1B",2.17381955098004,-1.57673061655797,3.91633119781166,0.000141747849066943,0.262430270333895,0.0734379484855472
"IGSF10",-1.08596240086168,1.72430498341799,-3.87368979379461,0.000166033869086902,0.262430270333895,0.259139926584211
"PRSS16",0.528768090369814,3.84946696574021,3.76682959068714,0.000245465117132491,0.262430270333895,0.249387679752497
"ZKSCAN8P1",-0.908812388587223,-0.255179968997737,-3.76628739493382,0.000245947702816,0.262430270333895,-0.236369784279455
"ADGRF1",1.55224038212109,0.731712396529577,3.74925434809169,0.000261574393205917,0.262430270333895,-0.129899187028977
"SYT12",1.62935069396465,0.0841051429537362,3.73922970734525,0.000271206530872153,0.262430270333895,-0.207213562449473
"ZNG1F",-1.1583947571803,3.63226338031887,-3.72260588326132,0.000287924152518261,0.262430270333895,-0.0805718564293318
"TMEM151B",-1.50900994179892,-1.96914896988575,-3.71117998821142,0.000299975537439091,0.262430270333895,-0.945755559973324
"PON2",0.579168702513402,6.54228080769782,3.70984817386871,0.000301410939686941,0.262430270333895,0.161490926080663
"PIP4K2C",0.763697068178047,5.25334812505202,3.68904946384936,0.000324688587354337,0.262430270333895,0.0077773782185151
"PTGER3",-0.909008705008817,1.64070794887574,-3.67500618069468,0.000341356850754858,0.262430270333895,-0.356921002700821
"NEURL1B",1.36401997301386,6.67855287435237,3.65328840717076,0.000368736351997994,0.264580623770294,-0.0228219024448224
"ROBO2",-0.852620126163855,2.40946888252977,-3.62224076355359,0.000411502886574912,0.276639251357723,-0.292938068540413
"TMEM182",0.666715312331205,2.12927769045151,3.59250351126527,0.000456822039748252,0.276639251357723,-0.405273113650743
"COQ3",0.543959480393595,2.88472895413352,3.58888313432104,0.000462650425015238,0.276639251357723,-0.42320786335399
"FOXD2",0.731723407297137,1.09787808528166,3.52467227395698,0.000578424936132656,0.327662504610304,-0.565569528496698
"CTNND2",-0.694454694869093,1.50421637298278,-3.47653807107369,0.000682549853741369,0.341751345398732,-0.720420134582429
"COL19A1",-1.46600414877673,1.13799393993168,-3.45937569050549,0.000723760216146506,0.341751345398732,-0.921458890426272
"SERPINA5",-1.80287669255803,0.737770981138623,-3.44209308915298,0.000767612538396247,0.341751345398732,-0.971772434339775
"PRELP",-1.10449141129815,2.96457376375606,-3.42607934399658,0.000810460405341553,0.341751345398732,-0.733147293399971
"CXCR4",-1.25757057562316,5.78784205968568,-3.42076321630622,0.000825173921597426,0.341751345398732,-0.678658197635174
"STAB2",-1.24692774149983,0.190258422598408,-3.41759159313791,0.000834071006402912,0.341751345398732,-1.09233687908551
"ARGLU1",-0.438241139879968,6.93510820839398,-3.41032279666598,0.000854802041811055,0.341751345398732,-0.712523319739312
"CYB561D1",0.401868809718411,4.92222807530336,3.40492573600518,0.000870506253215877,0.341751345398732,-0.768235692095683
"SNIP1",0.321531254096051,4.37398235911882,3.39866313275675,0.000889067887314363,0.341751345398732,-0.809134163021887
