"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","DEG_Status","Regulation"
"MS4A1",-1.70966394992311,5.59404635621962,-2.76417148701237,0.0064997558356966,0.468349573120697,-2.38206878919427,"Not_Significant","Downregulated_in_UC"
"SNAP91",-1.3823456842065,-0.480655882126748,-2.75587456223734,0.00665779835766769,0.468349573120697,-2.56245408110074,"Not_Significant","Downregulated_in_UC"
"TDO2",-1.03638306830618,2.00064140413499,-2.74642455341043,0.0068420545723174,0.468349573120697,-2.44178551278133,"Not_Significant","Downregulated_in_UC"
"FDCSP",-2.37663602572993,4.1928356509904,-2.74148922828239,0.00694011394971589,0.468349573120697,-2.42230761102545,"Not_Significant","Downregulated_in_UC"
"ST6GAL2",-1.21227925876462,-1.64503476710927,-2.72679061209626,0.00723976680492503,0.468349573120697,-2.82726844755147,"Not_Significant","Downregulated_in_UC"
"GTF2H2",2.31450465679142,0.998677593599534,2.72667610155056,0.00724214666384986,0.468349573120697,-2.48916413073182,"Not_Significant","Upregulated_in_UC"
"FAM216B",-1.4855121120252,0.271523301077529,-2.72548380630771,0.00726696819763602,0.468349573120697,-2.58670437839236,"Not_Significant","Downregulated_in_UC"
"NOS1",-1.20747946677082,-2.12715138027465,-2.71973844342189,0.00738766223889453,0.469917820358451,-2.82878096784118,"Not_Significant","Downregulated_in_UC"
"STAR",-1.55227190017872,-1.35319504038821,-2.68923200840222,0.00805950238738053,0.469917820358451,-2.8170934536397,"Not_Significant","Downregulated_in_UC"
"RAB6C",-1.05481191446006,-2.20817207820473,-2.65695529099979,0.00883010968867886,0.483042678296796,-2.90908171049566,"Not_Significant","Downregulated_in_UC"
"TCL1A",-2.06976609442712,2.65135790764674,-2.65587010549654,0.00885713814561936,0.483042678296796,-2.62020548016703,"Not_Significant","Downregulated_in_UC"
"CTAGE8",-1.79619111525444,1.06066317484705,-2.64251387324591,0.00919597174263977,0.483062167013622,-2.68296419004882,"Not_Significant","Downregulated_in_UC"
"TNFSF11",-1.30823053008628,1.08240075608301,-2.64085905597987,0.00923875715455349,0.483062167013622,-2.68052658428699,"Not_Significant","Downregulated_in_UC"
"SLC27A6",-1.16328288614298,-0.568964755934686,-2.61964589694056,0.00980335539834722,0.495368611044184,-2.84688948756905,"Not_Significant","Downregulated_in_UC"
"SLC30A2",1.04728801916512,0.551834508464157,2.61768715708551,0.00985702486163517,0.495753077503642,-2.71948899234093,"Not_Significant","Upregulated_in_UC"
"ITIH1",-1.19202099378396,-2.20670328892942,-2.61402180309097,0.00995816711605182,0.496202558657712,-2.97523630769242,"Not_Significant","Downregulated_in_UC"
"KCNQ5",-1.03872122161747,0.177111648976627,-2.59238818836712,0.0105743954867777,0.50329945225795,-2.81952194889269,"Not_Significant","Downregulated_in_UC"
"CXCL13",-2.18979129658416,3.78602053223491,-2.58922119024994,0.0106674287304619,0.50329945225795,-2.75265813783886,"Not_Significant","Downregulated_in_UC"
"TIMD4",-1.79088801741397,0.114696447860128,-2.58218109126475,0.0108768786511845,0.50329945225795,-2.87189829886281,"Not_Significant","Downregulated_in_UC"
"FOXD4L3",-1.03923842395792,-1.8984269724087,-2.5651494885654,0.011398948659055,0.50329945225795,-3.0173588268842,"Not_Significant","Downregulated_in_UC"
"FCRL4",-1.29974787451519,1.80673350069981,-2.55448274133627,0.0117372630787648,0.50329945225795,-2.83257427098778,"Not_Significant","Downregulated_in_UC"
